1.15.;12;31 км, Приморское шоссе, пл. Горская, после КАД;В СПб;29.975711, 60.042502;А, Б;http://elvispiter.ru/images/SPELBB0115A.jpg, http://elvispiter.ru/images/SPELBB0115B.jpg
1.17.;13;Зеленогорское шоссе, ст. Репино;В СПб;29.871178, 60.172139;А, Б;http://elvispiter.ru/images/1.17_a.jpg, http://elvispiter.ru/images/1.17_b.jpg
1.18.;14;Зеленогорское шоссе,  ж/д переезд у ст. Репино, поворот на Ленинское;В СПб;29.860468, 60.174384;А, Б;http://elvispiter.ru/images/1.18_a.jpg, http://elvispiter.ru/images/1.18_b.jpg
1.20.;15;г. Зеленогорск, привокзальная пл., рынок, кольцо автобусов и маршрутного такси;;29.703974, 60.205084;А, Б;http://elvispiter.ru/images/1.20_a.jpg, http://elvispiter.ru/images/1.20_b.jpg
2.52;295;65 км 00м, Трасса СКАНДИНАВИЯ;В СПб;29.801814, 60.300457;А, Б;http://elvispiter.ru/images/65%20%D0%BA%D0%BC%2000%D0%BC%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%2C%20%D0%B8%D0%B7%20%20%D0%A1%D0%9F%D0%B1.JPG, http://elvispiter.ru/images/65%20%D0%BA%D0%BC%2000%D0%BC%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%2C%20%D0%B2%20%20%D0%A1%D0%9F%D0%B1.jpg
2.8.;30;64 км 700 м, Трасса СКАНДИНАВИЯ, п.Огоньки, АЗС "ВТК", перед поворотом на Первомайское и Коробицино;Из СПб;29.803934, 60.298043;А, Б;http://elvispiter.ru/images/64%20%D0%BA%D0%BC%20700%20%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%2C%20%D0%BF.%D0%9E%D0%B3%D0%BE%D0%BD%D1%8C%D0%BA%D0%B8%2C%20%D0%90%D0%97%D0%A1%20%D0%92%D0%A2%D0%9A%2C%20%D0%BF%D0%B5%D1%80%D0%B5%D0%B4%20%D0%BF%D0%BE%D0%B2%D0%BE%D1%80%D0%BE%D1%82%D0%BE%D0%BC%20%D0%BD%D0%B0%20%D0%9F%D0%B5%D1%80%D0%B2%D0%BE%D0%BC%D0%B0%D0%B9%D1%81%D0%BA%D0%BE%D0%B5%20%D0%B8%20%D0%9A%D0%BE%D1%80%D0%BE%D0%B1%D0%B8%D1%86%D0%B8%D0%BD%D0%BE%2C%20%D0%B2%20%D0%A1%D0%9F%D0%B1%2C%20%D0%90.jpg, http://elvispiter.ru/images/64%20%D0%BA%D0%BC%20700%D0%BC%20%D0%B1.jpg
2.9.;31;64 км 800 м, Трасса СКАНДИНАВИЯ, п.Огоньки, АЗС "ВТК", перед поворотом на Первомайское и Коробицино;В СПб;29.804324, 60.298536;А, Б;http://elvispiter.ru/images/64%20%D0%BA%D0%BC%20800%20%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%2C%20%D0%BF.%D0%9E%D0%B3%D0%BE%D0%BD%D1%8C%D0%BA%D0%B8%2C%20%D0%90%D0%97%D0%A1%20%D0%92%D0%A2%D0%9A%2C%20%D0%BF%D0%B5%D1%80%D0%B5%D0%B4%20%D0%BF%D0%BE%D0%B2%D0%BE%D1%80%D0%BE%D1%82%D0%BE%D0%BC%20%D0%BD%D0%B0%20%D0%9F%D0%B5%D1%80%D0%B2%D0%BE%D0%BC%D0%B0%D0%B9%D1%81%D0%BA%D0%BE%D0%B5%20%D0%B8%20%D0%9A%D0%BE%D1%80%D0%BE%D0%B1%D0%B8%D1%86%D0%B8%D0%BD%D0%BE%2C%20%D0%B8%D0%B7%20%D0%A1%D0%9F%D0%B1%2C%20%D0%90.jpg, http://elvispiter.ru/images/64%20%D0%BA%D0%BC%20800%20%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%2C%20%D0%BF.%D0%9E%D0%B3%D0%BE%D0%BD%D1%8C%D0%BA%D0%B8%2C%20%D0%90%D0%97%D0%A1%20%D0%92%D0%A2%D0%9A%2C%20%D0%BF%D0%B5%D1%80%D0%B5%D0%B4%20%D0%BF%D0%BE%D0%B2%D0%BE%D1%80%D0%BE%D1%82%D0%BE%D0%BC%20%D0%BD%D0%B0%20%D0%9F%D0%B5%D1%80%D0%B2%D0%BE%D0%BC%D0%B0%D0%B9%D1%81%D0%BA%D0%BE%D0%B5%20%D0%B8%20%D0%9A%D0%BE%D1%80%D0%BE%D0%B1%D0%B8%D1%86%D0%B8%D0%BD%D0%BE%2C%20%D0%B2%20%D0%A1%D0%9F%D0%B1.JPG
2.85.;474;64 км 850 м, Трасса СКАНДИНАВИЯ, п.Огоньки, АЗС "ВТК", перед поворотом на Первомайское и Коробицино;В СПб;29.80351, 60.299498;А, Б;http://elvispiter.ru/images/64%D0%BA%D0%BC%20800%D0%BC%20%D0%A1%D0%BA%D0%B0%D0%BD%D0%B4%D0%B8%D0%BD%D0%B0%D0%B2%D0%B8%D1%8F%20%20%D0%90.JPG, http://elvispiter.ru/images/64%D0%BA%D0%BC%20800%D0%BC%20%D0%A1%D0%BA%D0%B0%D0%BD%D0%B4%D0%B8%D0%BD%D0%B0%D0%B2%D0%B8%D1%8F%20%D0%91.JPG
2.10.;32;65 км 600 м, Трасса СКАНДИНАВИЯ, п. Огоньки, АЗС "ВТК", поворот на Первомайское и Коробицино;В СПб;29.79613, 60.304455;А, Б;http://elvispiter.ru/images/65%20%D0%BA%D0%BC%20600%20%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%2C%20%D0%BF.%20%D0%9E%D0%B3%D0%BE%D0%BD%D1%8C%D0%BA%D0%B8%2C%20%D0%90%D0%97%D0%A1%20%D0%92%D0%A2%D0%9A%2C%20%D0%BF%D0%BE%D0%B2%D0%BE%D1%80%D0%BE%D1%82%20%D0%BD%D0%B0%20%D0%9F%D0%B5%D1%80%D0%B2%D0%BE%D0%BC%D0%B0%D0%B9%D1%81%D0%BA%D0%BE%D0%B5%20%D0%B8%20%D0%9A%D0%BE%D1%80%D0%BE%D0%B1%D0%B8%D1%86%D0%B8%D0%BD%D0%BE%2C%20%D0%B8%D0%B7%20%D0%A1%D0%9F%D0%B1%2C%20%D0%90.jpg, http://elvispiter.ru/images/65%20%D0%BA%D0%BC%20600%20%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%2C%20%D0%BF.%20%D0%9E%D0%B3%D0%BE%D0%BD%D1%8C%D0%BA%D0%B8%2C%20%D0%90%D0%97%D0%A1%20%D0%92%D0%A2%D0%9A%2C%20%D0%BF%D0%BE%D0%B2%D0%BE%D1%80%D0%BE%D1%82%20%D0%BD%D0%B0%20%D0%9F%D0%B5%D1%80%D0%B2%D0%BE%D0%BC%D0%B0%D0%B9%D1%81%D0%BA%D0%BE%D0%B5%20%D0%B8%20%D0%9A%D0%BE%D1%80%D0%BE%D0%B1%D0%B8%D1%86%D0%B8%D0%BD%D0%BE%2C%20%D0%B2%20%D0%A1%D0%9F%D0%B1%2C%20%D0%91.jpg
2.31.;24;66 км 850м, Трасса СКАНДИНАВИЯ;В СПб;29.778516, 60.312018;А, Б;http://elvispiter.ru/images/66%20%D0%BA%D0%BC%20850%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%2C%20%D0%B8%D0%B7%20%D0%A1%D0%9F%D0%B1%2C%20%D0%90.jpg, http://elvispiter.ru/images/66%20%D0%BA%D0%BC%20850%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%2C%20%D0%B2%20%D0%A1%D0%9F%D0%B1%2C%20%D0%91.jpg
2.56.;299;70 км 909м, Трасса СКАНДИНАВИЯ;В СПб;29.716, 60.3311;А, Б;http://elvispiter.ru/images/70%20%D0%BA%D0%BC%20909%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%2C%20%D0%B8%D0%B7%20%D0%A1%D0%9F%D0%B1.jpg, http://elvispiter.ru/images/70%20%D0%BA%D0%BC%20909%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%2C%20%D0%B2%20%D0%A1%D0%9F%D0%B1_2.jpg
2.57.;300;71 км 739м, Трасса СКАНДИНАВИЯ;В СПб;29.7022, 60.3326;А, Б;http://elvispiter.ru/images/71%20%D0%BA%D0%BC%20739%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%2C%20%D0%B8%D0%B7%20%D0%A1%D0%9F%D0%B1_2.jpg, http://elvispiter.ru/images/2.57_71%20%D0%BA%D0%BC%20739%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%2C%20%D0%B2%20%D0%A1%D0%9F%D0%B1_%D0%91.jpg
2.58.;301;72 км 870м, Трасса СКАНДИНАВИЯ;В СПб;29.6828, 60.3389;А, Б;http://elvispiter.ru/images/72%20%D0%BA%D0%BC%20870%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%2C%20%D0%B8%D0%B7%20%D0%A1%D0%9F%D0%B1.jpg, http://elvispiter.ru/images/72%20%D0%BA%D0%BC%20870%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%2C%20%D0%B2%20%D0%A1%D0%9F%D0%B1.jpg
2.59.;302;77 км 496м, Трасса СКАНДИНАВИЯ;В СПб;29.615021, 60.359664;А, Б;http://elvispiter.ru/images/77%20%D0%BA%D0%BC%20496%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%2C%20%D0%B8%D0%B7%20%D0%A1%D0%9F%D0%B1.jpg, http://elvispiter.ru/images/77%20%D0%BA%D0%BC%20496%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%20%D0%91.jpg
2.60.;321;78 км 056м, Трасса СКАНДИНАВИЯ;В СПб;29.6052, 60.3606;А, Б;http://elvispiter.ru/images/77%20%D0%BA%D0%BC%20496%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%2C%20%D0%B8%D0%B7%20%D0%A1%D0%9F%D0%B1%20%D0%90.JPG, http://elvispiter.ru/images/78%20%D0%BA%D0%BC%20056%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%20%D0%91.jpg
2.61;304;79 км 262м, Трасса СКАНДИНАВИЯ;В СПб;29.5779, 60.3608;А, Б;http://elvispiter.ru/images/79%20%D0%BA%D0%BC%20262%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%2C%20%D0%B8%D0%B7%20%D0%A1%D0%9F%D0%91%2C%20%D0%90.jpg, http://elvispiter.ru/images/79%20%D0%BA%D0%BC%20262%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%20%D0%91.jpg
2.11.;33;81 км 200 м, Трасса СКАНДИНАВИЯ,  Мотель "Вигвам";Из СПб;29.547912, 60.360967;А, Б;http://elvispiter.ru/images/81%20%D0%BA%D0%BC%20%D0%A1%D0%BA%D0%B0%D0%BD%D0%B4%20%D0%90.JPG, http://elvispiter.ru/images/81%D0%BA%D0%BC%20%D0%91.jpg
2.12.;34;83 км 600м, Трасса СКАНДИНАВИЯ, комплексы АЗС "Славнефть";В СПб;29.506581, 60.363511;А, Б;http://elvispiter.ru/images/83%20%D0%BA%D0%BC%20600%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%2C%20%D0%BA%D0%BE%D0%BC%D0%BF%D0%BB%D0%B5%D0%BA%D1%81%D1%8B%20%D0%90%D0%97%D0%A1%20%D0%A1%D0%BB%D0%B0%D0%B2%D0%BD%D0%B5%D1%84%D1%82%D1%8C%20%D0%90.jpg, http://elvispiter.ru/images/83%20%D0%BA%D0%BC%20600%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%2C%20%D0%BA%D0%BE%D0%BC%D0%BF%D0%BB%D0%B5%D0%BA%D1%81%D1%8B%20%D0%90%D0%97%D0%A1%20%D0%A1%D0%BB%D0%B0%D0%B2%D0%BD%D0%B5%D1%84%D1%82%D1%8C%20%D0%91.jpg
2.62;305;87 км 107м, Трасса СКАНДИНАВИЯ;В СПб;29.4567, 60.3831;А, Б;http://elvispiter.ru/images/87%20%D0%BA%D0%BC%20107%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%2C%20%D0%B8%D0%B7%20%D0%A1%D0%9F%D0%B1%2C%20%D0%90.jpg, http://elvispiter.ru/images/87%20%D0%BA%D0%BC%20107%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF.jpg
2.63;306;87 км 540м, Трасса СКАНДИНАВИЯ;В СПб;29.4512, 60.3846;А, Б;http://elvispiter.ru/images/87%20%D0%BA%D0%BC%20540%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%2C%20%D0%B8%D0%B7%20%D0%A1%D0%9F%D0%B1%2C%20%D0%90.jpg, http://elvispiter.ru/images/87%20%D0%BA%D0%BC%20540%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%20%D0%91.jpg
2.64.;307;92 км 452м, Трасса СКАНДИНАВИЯ;В СПб;29.3866, 60.4132;А, Б;http://elvispiter.ru/images/92%20%D0%BA%D0%BC%20452%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%2C%20%D0%B8%D0%B7%20%D0%A1%D0%9F%D0%91%2C%20%D0%90.jpg, http://elvispiter.ru/images/92%20%D0%BA%D0%BC%20452%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%20%D0%91.jpg
2.65.;308;93 км 564м, Трасса СКАНДИНАВИЯ;В СПб;29.38071, 60.422836;А, Б;http://elvispiter.ru/images/93%20%D0%BA%D0%BC%20564%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%2C%20%D0%B8%D0%B7%20%D0%A1%D0%9F%D0%B1%2C%20%D0%90.jpg, http://elvispiter.ru/images/93%20%D0%BA%D0%BC%20564%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%20%D0%91%20%D0%B2%20%D0%A1%D0%9F%D0%B1.jpg
2.66.;309;93 км 565м, Трасса СКАНДИНАВИЯ;Из СПб;29.379696, 60.422651;А, Б;http://elvispiter.ru/images/93%20%D0%BA%D0%BC%20565%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%20%D0%90.jpg, http://elvispiter.ru/images/93%20%D0%BA%D0%BC%20565%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%2C%20%D0%B8%D0%B7%20%D0%A1%D0%9F%D0%B1%2C%20%D0%91.jpg
2.67.;310;96 км 226м, Трасса СКАНДИНАВИЯ;В СПб;29.35468, 60.443996;А, Б;http://elvispiter.ru/images/96%20%D0%BA%D0%BC%20226%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%2C%20%D0%B8%D0%B7%20%D0%A1%D0%9F%D0%B1-2.jpg, http://elvispiter.ru/images/96%20%D0%BA%D0%BC%20226%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%20%D0%91.jpg
2.68;311;97 км 639м, Трасса СКАНДИНАВИЯ;В СПб;29.345255, 60.454268;А, Б;http://elvispiter.ru/images/97%20%D0%BA%D0%BC%20639%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%2C%20%D0%B8%D0%B7%20%D0%A1%D0%9F%D0%B1.jpg, http://elvispiter.ru/images/97%20%D0%BA%D0%BC%20639%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%20%D0%91.jpg
2.13.;35;98 км 100м, Трасса СКАНДИНАВИЯ,  комплексы АЗС "Лукойл";В СПб;29.341461, 60.458747;А, Б;http://elvispiter.ru/images/98%20%D0%BA%D0%BC%20100%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%2C%20%D0%BA%D0%BE%D0%BC%D0%BF%D0%BB%D0%B5%D0%BA%D1%81%D1%8B%20%D0%90%D0%97%D0%A1%20%D0%9B%D1%83%D0%BA%D0%BE%D0%B9%D0%BB%2C%20%D0%B8%D0%B7%20%D0%A1%D0%9F%D0%B1%2C%20%D0%90.jpg, http://elvispiter.ru/images/98%20%D0%BA%D0%BC%20100%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%2C%20%D0%BA%D0%BE%D0%BC%D0%BF%D0%BB%D0%B5%D0%BA%D1%81%D1%8B%20%D0%90%D0%97%D0%A1%20%D0%9B%D1%83%D0%BA%D0%BE%D0%B9%D0%BB%20%D0%91.jpg
2.14.;36;98 км 250 м, Трасса СКАНДИНАВИЯ,   комплексы АЗС "Лукойл";Из СПб;29.339797, 60.459695;А, Б;http://elvispiter.ru/images/98%20%D0%BA%D0%BC%20250%20%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%2C%20%D0%BA%D0%BE%D0%BC%D0%BF%D0%BB%D0%B5%D0%BA%D1%81%D1%8B%20%D0%90%D0%97%D0%A1%20%D0%9B%D1%83%D0%BA%D0%BE%D0%B9%D0%BB%20%D0%90.jpg, http://elvispiter.ru/images/98%20%D0%BA%D0%BC%20250%20%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%2C%20%D0%BA%D0%BE%D0%BC%D0%BF%D0%BB%D0%B5%D0%BA%D1%81%D1%8B%20%D0%90%D0%97%D0%A1%20%D0%9B%D1%83%D0%BA%D0%BE%D0%B9%D0%BB%2C%20%D0%B8%D0%B7%20%D0%A1%D0%9F%D0%B1%2C%20%D0%91.jpg
2.15.;37;98 км 800 м, Трасса СКАНДИНАВИЯ,  комплексы  АЗС "Лукойл";Из СПб;29.335766, 60.46349;А, Б;http://elvispiter.ru/images/98%20%D0%BA%D0%BC%20800%20%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%2C%20%D0%BA%D0%BE%D0%BC%D0%BF%D0%BB%D0%B5%D0%BA%D1%81%D1%8B%20%D0%90%D0%97%D0%A1%20%D0%9B%D1%83%D0%BA%D0%BE%D0%B9%D0%BB%2C%20%D0%B2%20%D0%A1%D0%9F%D0%B1%2C%20%D0%90.jpg, http://elvispiter.ru/images/98%20%D0%BA%D0%BC%20800%20%D0%BC%2C%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%2C%20%D0%BA%D0%BE%D0%BC%D0%BF%D0%BB%D0%B5%D0%BA%D1%81%D1%8B%20%D0%90%D0%97%D0%A1%20%D0%9B%D1%83%D0%BA%D0%BE%D0%B9%D0%BB%2C%20%D0%B8%D0%B7%20%D0%A1%D0%9F%D0%B1%2C%20%D0%91.jpg
2.86.;471;98 км 850 м, Трасса СКАНДИНАВИЯ, пешеходный переход, офис "ERGO", у развязки Кирилловское-Кирпичное;В СПб;29.325977, 60.471633;А, Б;http://elvispiter.ru/images/99%20800%20%D0%BA%D0%BC%20%D0%A1%D0%BA%D0%B0%D0%BD%D0%B4%20%D0%90.JPG, http://elvispiter.ru/images/99%20800%20%D0%BA%D0%BC%20%D0%A1%D0%BA%D0%B0%D0%BD%D0%B4%20%D0%91.JPG
